name,price,size,area,url,monthly_fee,date_sold,rooms,type,price_per_m2,area_price_per_m2
Tavast­gatan 16,3200000,24.0, Södermalm,https://www.booli.se/bostad/3970042,1453.0,20220815,1.0,Lägenhet,133333.33,105142.0
Folkunga­gatan 101,3000000,29.0, Södermalm,https://www.booli.se/bostad/149387,1312.0,20220817,1.0,Lägenhet,103448.28,105142.0
Heleneborgs­gatan 52,7000000,62.5, Södermalm,https://www.booli.se/bostad/431928,2757.0,20220817,2.0,Lägenhet,112000.0,105142.0
Ruddamms­vägen 4,3330000,36.0, Vasastan,https://www.booli.se/annons/4720232,1621.0,20220819,1.5,Lägenhet,92500.0,116628.0
Hjärne­gatan 4A,4200000,37.0, Kungsholmen,https://www.booli.se/annons/4727898,1868.0,20220819,2.0,Lägenhet,113513.51,103045.0
Södermanna­gatan 12,10150000,108.0, Södermalm,https://www.booli.se/annons/4604940,5276.0,20220819,3.0,Lägenhet,93981.48,105142.0
Gästrike­gatan 5,11500000,85.0, Vasastan,https://www.booli.se/annons/4729388,2398.0,20220817,3.0,Lägenhet,135294.12,116628.0
Nynäs­vägen 341,2650000,40.0, Gamla Enskede,https://www.booli.se/annons/4707202,2187.0,20220819,1.0,Lägenhet,66250.0,71097.0
Chapmans­gatan 5,10525000,87.0, Nedre Kungsholmen,https://www.booli.se/annons/4710137,3771.0,20220819,4.0,Lägenhet,120977.01,103258.0
Rålambs­vägen 48,2410000,27.0, Fredhäll,https://www.booli.se/annons/4687868,1536.0,20220819,1.0,Lägenhet,89259.26,91116.0
Bäverbäcks­gränd 68,2015000,62.5, Rågsved,https://www.booli.se/annons/4687119,4679.0,20220819,2.0,Lägenhet,32240.0,33687.0
Svartviks­slingan 110,5820000,79.5, Minneberg,https://www.booli.se/bostad/3963936,4697.0,20220819,3.0,Lägenhet,73207.55,76951.0
Sonja Kovalevskys gata 3,5495000,51.0, Vasastan,https://www.booli.se/annons/4641258,2550.0,20220819,2.0,Lägenhet,107745.1,116628.0
Alp­vägen 8,2900000,62.0, Bromma,https://www.booli.se/annons/4685544,4397.0,20220819,3.0,Lägenhet,46774.19,63108.0
Kamomilla­gatan 5,3330000,64.0, Bromma,https://www.booli.se/annons/4690257,3783.0,20220819,2.0,Lägenhet,52031.25,63108.0
Sankt Eriks­plan 13,5350000,51.0, Birkastan,https://www.booli.se/annons/4686536,2748.0,20220819,2.0,Lägenhet,104901.96,119640.0
Tors­gatan 33,3050000,24.0, Birkastan,https://www.booli.se/bostad/771680,595.0,20220816,1.0,Lägenhet,127083.33,119640.0
Dala­gatan 74B,5990000,55.0, Vasastan,https://www.booli.se/bostad/305414,2902.0,20220818,2.0,Lägenhet,108909.09,116628.0
Sportflygar­gatan 3,2700000,77.0, Skarpnäck,https://www.booli.se/annons/4589444,4680.0,20220819,3.0,Lägenhet,35064.94,40591.0
Kungs­holms Strand 137,4850000,46.0, Kungsholmen,https://www.booli.se/bostad/646461,2368.0,20220819,2.0,Lägenhet,105434.78,103045.0
Viggholms­vägen 9,4500000,121.0, Vårberg,https://www.booli.se/annons/4715431,6249.0,20220818,6.0,Radhus,37190.08,30240.0
Atterboms­vägen 30,2100000,25.0, Kungsholmen,https://www.booli.se/bostad/561940,1650.0,20220818,1.0,Lägenhet,84000.0,103045.0
